ProjectID,ProjectName,Program,StartDate,EndDate,Budget,ActualCost,Status,Priority,Sponsor
P001,Project 1,Program C,2025-07-21,2026-01-03,157077.0,188292.0,Delayed,Medium,Operations
P002,Project 2,Program B,2025-07-02,2025-11-25,373931.0,374202.0,At Risk,Low,IT
P003,Project 3,Program C,2025-04-29,2025-09-21,505383.0,533635.0,At Risk,High,IT
P004,Project 4,Program A,2025-10-24,2026-01-09,483034.0,494542.0,At Risk,Low,IT
P005,Project 5,Program C,2025-08-07,2025-12-04,721396.0,693080.0,On Track,High,HR
P006,Project 6,Program B,2025-06-18,2025-10-26,469632.0,533277.0,Delayed,High,HR
P007,Project 7,Program B,2025-02-21,2025-07-15,460422.0,428948.0,On Track,Low,Finance
P008,Project 8,Program B,2025-04-07,2025-08-16,728932.0,695143.0,On Track,High,Finance
P009,Project 9,Program A,2025-03-26,2025-09-21,433218.0,395544.0,On Track,Low,HR
P010,Project 10,Program B,2025-10-04,2026-02-12,666226.0,610603.0,On Track,High,HR
P011,Project 11,Program D,2025-09-28,2026-03-20,456716.0,433957.0,On Track,Medium,IT
P012,Project 12,Program C,2025-07-10,2025-11-02,449582.0,463424.0,On Track,Low,Finance
P013,Project 13,Program A,2025-01-20,2025-06-29,646113.0,654452.0,On Track,High,HR
P014,Project 14,Program C,2025-06-07,2025-10-13,197835.0,200185.0,At Risk,High,IT
P015,Project 15,Program B,2025-10-02,2025-12-12,430635.0,550678.0,Delayed,Medium,IT
P016,Project 16,Program D,2025-04-13,2025-08-12,396152.0,384351.0,On Track,High,IT
P017,Project 17,Program B,2025-09-10,2025-12-31,281091.0,275740.0,On Track,Low,IT
P018,Project 18,Program B,2025-05-23,2025-10-26,54838.0,53047.0,On Track,Medium,HR
P019,Project 19,Program D,2025-07-15,2025-09-29,311428.0,349378.0,At Risk,Medium,Operations
P020,Project 20,Program B,2025-09-28,2025-11-27,331210.0,317170.0,On Track,High,IT
P021,Project 21,Program B,2025-05-08,2025-10-05,540932.0,605397.0,At Risk,High,HR
P022,Project 22,Program D,2025-06-16,2025-11-19,218684.0,229460.0,On Track,High,Operations
P023,Project 23,Program D,2025-11-01,2026-02-17,224753.0,266363.0,At Risk,Low,Finance
P024,Project 24,Program A,2025-05-03,2025-09-25,271898.0,267640.0,On Track,Low,Finance
P025,Project 25,Program C,2025-07-23,2025-10-11,101542.0,108111.0,At Risk,Medium,HR
P026,Project 26,Program C,2025-10-27,2026-01-25,210811.0,211692.0,At Risk,Low,IT
P027,Project 27,Program C,2025-09-13,2025-12-02,72198.0,72857.0,At Risk,Medium,HR
P028,Project 28,Program B,2025-11-14,2026-03-19,410598.0,372603.0,On Track,Medium,HR
P029,Project 29,Program A,2025-02-10,2025-08-06,661246.0,832518.0,Delayed,High,HR
P030,Project 30,Program C,2025-01-11,2025-05-17,504516.0,491975.0,On Track,High,Finance
P031,Project 31,Program A,2025-04-25,2025-07-11,130558.0,153882.0,At Risk,Medium,Operations
P032,Project 32,Program D,2025-10-03,2026-03-11,266452.0,357589.0,Delayed,Medium,IT
P033,Project 33,Program A,2025-02-26,2025-06-12,245208.0,248809.0,On Track,Medium,IT
P034,Project 34,Program D,2025-07-22,2025-12-30,348860.0,432945.0,Delayed,Medium,Finance
P035,Project 35,Program A,2025-03-27,2025-08-06,243733.0,313917.0,Delayed,Low,HR
P036,Project 36,Program C,2025-02-09,2025-08-05,238895.0,253277.0,At Risk,Medium,Operations
P037,Project 37,Program A,2025-06-21,2025-09-02,202052.0,193562.0,On Track,Low,Finance
P038,Project 38,Program B,2025-07-13,2025-10-29,176947.0,202199.0,Delayed,Medium,Operations
P039,Project 39,Program C,2025-08-26,2025-11-06,427815.0,468155.0,At Risk,Low,HR
P040,Project 40,Program A,2025-05-11,2025-08-11,240628.0,263513.0,At Risk,Medium,Finance
