ResourceID,ProjectID,Role,AllocationPct,Cost
RES0001,P001,Developer,47,68378.0
RES0002,P001,Engineer,49,56907.0
RES0003,P002,Analyst,37,46221.0
RES0004,P002,Analyst,41,26689.0
RES0005,P002,Engineer,88,102638.0
RES0006,P002,Analyst,34,50176.0
RES0007,P002,Analyst,52,28036.0
RES0008,P003,Engineer,98,129095.0
RES0009,P003,Manager,83,118062.0
RES0010,P004,Developer,97,75706.0
RES0011,P004,Manager,57,61524.0
RES0012,P004,Developer,62,31712.0
RES0013,P004,Analyst,37,46920.0
RES0014,P004,Analyst,54,78981.0
RES0015,P005,Developer,61,83888.0
RES0016,P005,Engineer,89,95702.0
RES0017,P005,Manager,29,15870.0
RES0018,P006,Manager,65,69954.0
RES0019,P006,Manager,20,26997.0
RES0020,P007,Developer,59,75193.0
RES0021,P007,Developer,22,25467.0
RES0022,P008,Developer,66,69540.0
RES0023,P008,Engineer,67,42903.0
RES0024,P008,Manager,67,54983.0
RES0025,P009,Analyst,51,72028.0
RES0026,P009,Manager,67,72183.0
RES0027,P010,Developer,74,43223.0
RES0028,P010,Developer,68,54325.0
RES0029,P011,Analyst,31,25209.0
RES0030,P011,Manager,95,121158.0
RES0031,P011,Engineer,85,64673.0
RES0032,P012,Analyst,93,84171.0
RES0033,P012,Manager,30,20498.0
RES0034,P012,Engineer,63,86870.0
RES0035,P012,Engineer,55,38361.0
RES0036,P013,Manager,95,135703.0
RES0037,P013,Analyst,61,35730.0
RES0038,P014,Analyst,76,101234.0
RES0039,P014,Manager,58,59909.0
RES0040,P014,Engineer,81,71762.0
RES0041,P015,Developer,85,46060.0
RES0042,P015,Developer,72,68987.0
RES0043,P015,Developer,77,72170.0
RES0044,P016,Manager,76,106436.0
RES0045,P016,Analyst,98,112157.0
RES0046,P017,Engineer,32,33981.0
RES0047,P017,Engineer,81,105935.0
RES0048,P017,Developer,20,22004.0
RES0049,P017,Engineer,77,45601.0
RES0050,P018,Analyst,50,69709.0
RES0051,P018,Engineer,40,31757.0
RES0052,P018,Engineer,90,106783.0
RES0053,P018,Engineer,29,34544.0
RES0054,P019,Developer,95,85076.0
RES0055,P019,Manager,75,59887.0
RES0056,P019,Developer,78,114581.0
RES0057,P020,Developer,85,56452.0
RES0058,P020,Analyst,98,103184.0
RES0059,P020,Developer,34,32936.0
RES0060,P020,Analyst,91,89772.0
RES0061,P020,Engineer,51,63363.0
RES0062,P021,Manager,61,71901.0
RES0063,P021,Engineer,49,41942.0
RES0064,P022,Manager,65,70823.0
RES0065,P022,Analyst,62,39380.0
RES0066,P022,Developer,45,31203.0
RES0067,P022,Manager,78,112006.0
RES0068,P023,Manager,32,41529.0
RES0069,P023,Developer,59,77771.0
RES0070,P024,Manager,73,92720.0
RES0071,P024,Manager,54,39453.0
RES0072,P024,Engineer,47,69115.0
RES0073,P025,Developer,36,40567.0
RES0074,P025,Developer,80,98847.0
RES0075,P025,Manager,43,23843.0
RES0076,P025,Developer,30,32040.0
RES0077,P025,Developer,82,75269.0
RES0078,P026,Analyst,80,97511.0
RES0079,P026,Engineer,64,35745.0
RES0080,P027,Manager,31,17442.0
RES0081,P027,Engineer,87,61047.0
RES0082,P028,Engineer,95,111973.0
RES0083,P028,Analyst,92,97219.0
RES0084,P028,Engineer,59,88062.0
RES0085,P028,Engineer,67,91084.0
RES0086,P029,Manager,31,15946.0
RES0087,P029,Manager,22,20613.0
RES0088,P029,Developer,42,61823.0
RES0089,P030,Analyst,66,57249.0
RES0090,P030,Engineer,51,63514.0
RES0091,P030,Engineer,48,35248.0
RES0092,P031,Manager,86,94327.0
RES0093,P031,Analyst,77,90717.0
RES0094,P031,Analyst,92,51511.0
RES0095,P032,Manager,86,110406.0
RES0096,P032,Analyst,63,68019.0
RES0097,P032,Developer,56,81195.0
RES0098,P032,Manager,20,13801.0
RES0099,P032,Analyst,88,96971.0
RES0100,P033,Developer,46,41437.0
RES0101,P033,Manager,21,13377.0
RES0102,P033,Engineer,27,17331.0
RES0103,P033,Engineer,46,28764.0
RES0104,P034,Developer,24,17131.0
RES0105,P034,Engineer,21,13369.0
RES0106,P034,Engineer,21,17280.0
RES0107,P034,Manager,40,32987.0
RES0108,P035,Manager,50,55271.0
RES0109,P035,Manager,79,115649.0
RES0110,P035,Engineer,76,71805.0
RES0111,P035,Engineer,92,84905.0
RES0112,P036,Manager,59,45831.0
RES0113,P036,Engineer,60,52781.0
RES0114,P036,Analyst,56,65169.0
RES0115,P036,Analyst,58,57364.0
RES0116,P036,Manager,94,99320.0
RES0117,P037,Engineer,20,29886.0
RES0118,P037,Developer,21,29257.0
RES0119,P038,Developer,85,105194.0
RES0120,P038,Engineer,72,95391.0
RES0121,P038,Engineer,55,27584.0
RES0122,P039,Developer,83,96042.0
RES0123,P039,Engineer,41,39658.0
RES0124,P039,Engineer,58,34548.0
RES0125,P040,Engineer,68,78186.0
RES0126,P040,Developer,78,86589.0
