RiskID,ProjectID,RiskLevel,Impact,Probability,Status
R0001,P001,Medium,4,3,Open
R0002,P001,Medium,2,4,Closed
R0003,P002,High,5,5,Closed
R0004,P002,High,5,5,Open
R0005,P002,High,4,5,Open
R0006,P002,High,4,4,Mitigated
R0007,P002,Medium,3,3,Closed
R0008,P002,Medium,4,3,Closed
R0009,P003,Medium,3,4,Closed
R0010,P003,High,4,4,Mitigated
R0011,P003,High,4,4,Open
R0012,P003,Medium,3,3,Mitigated
R0013,P003,High,3,5,Closed
R0014,P003,High,3,5,Open
R0015,P004,Medium,4,3,Open
R0016,P004,High,4,5,Closed
R0017,P004,High,4,4,Mitigated
R0018,P004,Medium,3,3,Mitigated
R0019,P004,Medium,4,3,Mitigated
R0020,P005,Low,1,1,Mitigated
R0021,P005,Medium,4,2,Mitigated
R0022,P005,Low,3,1,Open
R0023,P005,Low,1,3,Mitigated
R0024,P005,Low,1,4,Mitigated
R0025,P006,Low,3,1,Open
R0026,P006,Low,1,1,Open
R0027,P006,Medium,3,4,Open
R0028,P006,Low,1,3,Open
R0029,P007,Low,2,3,Closed
R0030,P007,Low,1,3,Mitigated
R0031,P007,Medium,4,2,Closed
R0032,P007,Low,1,1,Mitigated
R0033,P007,Medium,3,3,Open
R0034,P008,Low,3,1,Mitigated
R0035,P008,Low,3,2,Open
R0036,P009,Low,3,2,Mitigated
R0037,P009,Medium,3,3,Open
R0038,P009,Low,1,4,Open
R0039,P009,Low,1,2,Mitigated
R0040,P009,High,4,4,Open
R0041,P010,Low,1,1,Mitigated
R0042,P010,Medium,4,3,Open
R0043,P011,Low,4,1,Open
R0044,P011,Low,3,1,Open
R0045,P012,Medium,2,4,Open
R0046,P012,Medium,2,4,Closed
R0047,P013,Low,2,1,Closed
R0048,P013,Low,4,1,Closed
R0049,P014,High,4,5,Closed
R0050,P014,High,4,5,Mitigated
R0051,P014,Medium,3,4,Closed
R0052,P014,High,5,5,Open
R0053,P014,Medium,4,3,Mitigated
R0054,P014,High,5,3,Mitigated
