RiskID,ProjectID,RiskLevel,Impact,Probability,Status,RiskScore,IsHighRisk
R0001,P001,Medium,4,3,Open,12,0
R0002,P001,Medium,2,4,Closed,8,0
R0003,P002,High,5,5,Closed,25,1
R0004,P002,High,5,5,Open,25,1
R0005,P002,High,4,5,Open,20,1
R0006,P002,High,4,4,Mitigated,16,1
R0007,P002,Medium,3,3,Closed,9,0
R0008,P002,Medium,4,3,Closed,12,0
R0009,P003,Medium,3,4,Closed,12,0
R0010,P003,High,4,4,Mitigated,16,1
R0011,P003,High,4,4,Open,16,1
R0012,P003,Medium,3,3,Mitigated,9,0
R0013,P003,High,3,5,Closed,15,1
R0014,P003,High,3,5,Open,15,1
R0015,P004,Medium,4,3,Open,12,0
R0016,P004,High,4,5,Closed,20,1
R0017,P004,High,4,4,Mitigated,16,1
R0018,P004,Medium,3,3,Mitigated,9,0
R0019,P004,Medium,4,3,Mitigated,12,0
R0020,P005,Low,1,1,Mitigated,1,0
R0021,P005,Medium,4,2,Mitigated,8,0
R0022,P005,Low,3,1,Open,3,0
R0023,P005,Low,1,3,Mitigated,3,0
R0024,P005,Low,1,4,Mitigated,4,0
R0025,P006,Low,3,1,Open,3,0
R0026,P006,Low,1,1,Open,1,0
R0027,P006,Medium,3,4,Open,12,0
R0028,P006,Low,1,3,Open,3,0
R0029,P007,Low,2,3,Closed,6,0
R0030,P007,Low,1,3,Mitigated,3,0
R0031,P007,Medium,4,2,Closed,8,0
R0032,P007,Low,1,1,Mitigated,1,0
R0033,P007,Medium,3,3,Open,9,0
R0034,P008,Low,3,1,Mitigated,3,0
R0035,P008,Low,3,2,Open,6,0
R0036,P009,Low,3,2,Mitigated,6,0
R0037,P009,Medium,3,3,Open,9,0
R0038,P009,Low,1,4,Open,4,0
R0039,P009,Low,1,2,Mitigated,2,0
R0040,P009,High,4,4,Open,16,1
R0041,P010,Low,1,1,Mitigated,1,0
R0042,P010,Medium,4,3,Open,12,0
R0043,P011,Low,4,1,Open,4,0
R0044,P011,Low,3,1,Open,3,0
R0045,P012,Medium,2,4,Open,8,0
R0046,P012,Medium,2,4,Closed,8,0
R0047,P013,Low,2,1,Closed,2,0
R0048,P013,Low,4,1,Closed,4,0
R0049,P014,High,4,5,Closed,20,1
R0050,P014,High,4,5,Mitigated,20,1
R0051,P014,Medium,3,4,Closed,12,0
R0052,P014,High,5,5,Open,25,1
R0053,P014,Medium,4,3,Mitigated,12,0
R0054,P014,High,5,3,Mitigated,15,1
R0055,P015,Low,1,3,Closed,3,0
R0056,P015,Medium,3,3,Closed,9,0
R0057,P016,Medium,3,4,Closed,12,0
R0058,P016,Medium,3,3,Closed,9,0
R0059,P016,Medium,3,4,Mitigated,12,0
R0060,P017,Low,2,2,Closed,4,0
R0061,P017,Medium,3,4,Open,12,0
R0062,P018,Medium,4,2,Open,8,0
R0063,P018,Medium,3,3,Closed,9,0
R0064,P018,Low,4,1,Closed,4,0
R0065,P018,Medium,4,2,Mitigated,8,0
R0066,P018,Low,1,2,Open,2,0
R0067,P019,High,4,4,Closed,16,1
R0068,P019,High,5,5,Mitigated,25,1
R0069,P019,Medium,4,3,Mitigated,12,0
R0070,P020,Medium,4,2,Open,8,0
R0071,P020,Low,4,1,Mitigated,4,0
R0072,P020,Medium,3,4,Closed,12,0
R0073,P020,Low,1,1,Closed,1,0
R0074,P021,High,5,5,Open,25,1
R0075,P021,Medium,3,3,Closed,9,0
R0076,P021,High,4,4,Mitigated,16,1
R0077,P021,High,4,5,Open,20,1
R0078,P022,Medium,4,3,Mitigated,12,0
R0079,P022,High,4,4,Mitigated,16,1
R0080,P022,Low,1,2,Mitigated,2,0
R0081,P022,Low,3,2,Mitigated,6,0
R0082,P023,Medium,4,3,Open,12,0
R0083,P023,High,3,5,Closed,15,1
R0084,P024,Medium,3,3,Mitigated,9,0
R0085,P024,Low,2,3,Mitigated,6,0
R0086,P024,Low,1,4,Closed,4,0
R0087,P024,Low,1,3,Closed,3,0
R0088,P024,Medium,3,4,Mitigated,12,0
R0089,P024,Medium,2,4,Open,8,0
R0090,P025,High,5,5,Open,25,1
R0091,P025,Medium,4,3,Closed,12,0
R0092,P025,High,4,4,Open,16,1
R0093,P025,High,4,4,Open,16,1
R0094,P025,Medium,3,4,Open,12,0
R0095,P025,High,4,4,Mitigated,16,1
R0096,P026,High,5,4,Mitigated,20,1
R0097,P026,High,5,5,Closed,25,1
R0098,P026,High,5,4,Open,20,1
R0099,P026,High,3,5,Mitigated,15,1
R0100,P027,Medium,3,4,Mitigated,12,0
R0101,P027,High,4,4,Closed,16,1
R0102,P028,Low,1,4,Closed,4,0
R0103,P028,Low,2,1,Closed,2,0
R0104,P028,Low,3,2,Closed,6,0
R0105,P028,Medium,3,4,Mitigated,12,0
R0106,P028,Low,3,2,Closed,6,0
R0107,P029,Medium,4,2,Open,8,0
R0108,P029,Medium,3,4,Open,12,0
R0109,P029,Medium,4,3,Mitigated,12,0
R0110,P029,Low,4,1,Open,4,0
R0111,P030,Low,2,1,Mitigated,2,0
R0112,P030,Low,2,2,Open,4,0
R0113,P030,Low,4,1,Closed,4,0
R0114,P031,High,5,3,Mitigated,15,1
R0115,P031,Medium,4,3,Mitigated,12,0
R0116,P031,High,4,5,Open,20,1
R0117,P031,High,4,4,Mitigated,16,1
R0118,P031,High,3,5,Closed,15,1
R0119,P032,Low,1,1,Mitigated,1,0
R0120,P032,Medium,2,4,Open,8,0
R0121,P033,Medium,2,4,Mitigated,8,0
R0122,P033,Medium,4,3,Closed,12,0
R0123,P033,Low,1,2,Open,2,0
R0124,P034,Low,1,3,Open,3,0
R0125,P034,High,4,4,Open,16,1
R0126,P034,Low,3,1,Open,3,0
R0127,P034,Low,1,3,Mitigated,3,0
R0128,P035,Medium,4,3,Open,12,0
R0129,P035,Medium,3,3,Open,9,0
R0130,P035,Medium,3,3,Mitigated,9,0
R0131,P035,Low,1,2,Open,2,0
R0132,P035,Low,2,2,Closed,4,0
R0133,P035,Medium,3,3,Mitigated,9,0
R0134,P036,High,5,5,Open,25,1
R0135,P036,High,5,5,Open,25,1
R0136,P037,Medium,3,3,Mitigated,9,0
R0137,P037,High,4,4,Closed,16,1
R0138,P037,Low,4,1,Mitigated,4,0
R0139,P037,Low,1,1,Mitigated,1,0
R0140,P037,Medium,2,4,Closed,8,0
R0141,P037,High,4,4,Closed,16,1
R0142,P038,Low,3,1,Mitigated,3,0
R0143,P038,Medium,4,3,Closed,12,0
R0144,P038,Medium,3,3,Open,9,0
R0145,P038,Medium,3,4,Open,12,0
R0146,P038,Low,2,1,Closed,2,0
R0147,P039,High,5,3,Open,15,1
R0148,P039,High,5,4,Mitigated,20,1
R0149,P039,High,5,5,Open,25,1
R0150,P040,Medium,4,3,Mitigated,12,0
R0151,P040,High,4,5,Open,20,1
